model,val_accuracy,val_precision,val_recall,val_f1,val_mcc,test_accuracy,test_precision,test_recall,test_f1,test_mcc
LogisticRegression,0.6730366492146597,0.674761586719205,0.6730366492146597,0.6722765528596586,0.3478428681576158,0.6837888784165881,0.6860969470878261,0.6837888784165881,0.6827744226619243,0.3698444234832365
KNeighborsClassifier,0.7232984293193717,0.7235721182891249,0.7232984293193717,0.7232256925714632,0.4468838976859375,0.7101790763430725,0.7111062527221353,0.7101790763430725,0.7098450855753523,0.4212654736333741
SVC,0.7180628272251309,0.7182847716890959,0.7180628272251309,0.7180023993804252,0.43635983720453325,0.7167766258246937,0.7180271478088702,0.7167766258246937,0.7163531131774197,0.4347810335551549
RandomForestClassifier,0.7363874345549738,0.7370456380530823,0.7363874345549738,0.7362210109174575,0.4734528050147123,0.7379830348727615,0.7397646414714154,0.7379830348727615,0.7374788295962669,0.4777223947070181
DecisionTreeClassifier,0.6630890052356021,0.6631346454216479,0.6630890052356021,0.6630736049052738,0.3262300207657641,0.6715362865221489,0.6717343516065098,0.6715362865221489,0.6714309910508552,0.3432591949383974
GaussianNB,0.6201570680628272,0.6266139898667413,0.6201570680628272,0.6154201640615914,0.24682153963663267,0.61875589066918,0.627616510885456,0.61875589066918,0.6119010228070443,0.24611365035688385
